,id,event_id,type_id,period_id,min,sec,team_id,outcome,x,y,timestamp,date,time,last_modified
111,804162476,61,1,1,4,24,21,1,49.3,42.4,2015-01-13T19:49:53.818,2015-01-13,19:49:53,2015-01-13T19:50:25
112,1900374705,62,50,1,4,25,21,1,52.3,53.5,2015-01-13T19:49:54.883,2015-01-13,19:49:54,2015-01-13T19:49:56
113,207396014,52,7,1,4,25,11,1,47.7,46.5,2015-01-13T19:49:54.893,2015-01-13,19:49:54,2015-01-13T19:49:55
114,1889010456,53,49,1,4,26,11,1,55.6,56.6,2015-01-13T19:49:55.646,2015-01-13,19:49:55,2015-01-13T19:49:55
115,37127930,54,1,1,4,27,11,1,56.4,60.6,2015-01-13T19:49:56.797,2015-01-13,19:49:56,2015-01-13T19:49:59
116,1430043033,55,1,1,4,29,11,0,67.4,78.8,2015-01-13T19:49:59.197,2015-01-13,19:49:59,2015-01-13T19:50:00
117,2041295797,63,49,1,4,30,21,1,18.1,27.3,2015-01-13T19:50:00.222,2015-01-13,19:50:00,2015-01-13T19:50:00
118,599042204,64,1,1,4,33,21,1,27.6,19.1,2015-01-13T19:50:02.855,2015-01-13,19:50:02,2015-01-13T19:50:05
119,1323221293,65,1,1,4,35,21,1,53.2,40.0,2015-01-13T19:50:05.359,2015-01-13,19:50:05,2015-01-13T19:50:06
120,1923699363,66,1,1,4,37,21,1,63.1,47.8,2015-01-13T19:50:06.722,2015-01-13,19:50:06,2015-01-13T19:50:10
121,1933455305,67,1,1,4,40,21,0,92.2,12.8,2015-01-13T19:50:10.311,2015-01-13,19:50:10,2015-01-13T19:50:14
122,1948524923,56,12,1,4,43,11,1,11.5,65.4,2015-01-13T19:50:13.325,2015-01-13,19:50:13,2015-01-13T19:50:13
123,1875803790,57,49,1,4,47,11,1,39.4,95.1,2015-01-13T19:50:16.749,2015-01-13,19:50:16,2015-01-13T19:50:16
124,540857715,58,1,1,4,48,11,1,39.4,95.1,2015-01-13T19:50:17.757,2015-01-13,19:50:17,2015-01-13T19:50:20
125,989799358,59,1,1,4,50,11,1,54.0,76.1,2015-01-13T19:50:20.109,2015-01-13,19:50:20,2015-01-13T19:50:21
126,1850797349,60,1,1,4,52,11,1,44.4,54.8,2015-01-13T19:50:21.757,2015-01-13,19:50:21,2015-01-13T19:50:27
127,368068374,61,1,1,4,57,11,1,72.8,36.6,2015-01-13T19:50:27.262,2015-01-13,19:50:27,2015-01-13T19:50:30
128,84514972,62,1,1,5,0,11,0,87.5,16.4,2015-01-13T19:50:30.173,2015-01-13,19:50:30,2015-01-13T19:50:54
129,967657688,68,49,1,5,2,21,1,13.8,42.2,2015-01-13T19:50:32.472,2015-01-13,19:50:32,2015-01-13T19:50:32
130,519282928,69,1,1,5,3,21,1,14.2,44.2,2015-01-13T19:50:32.947,2015-01-13,19:50:32,2015-01-13T19:50:37
131,1193483468,70,1,1,5,7,21,1,42.4,68.8,2015-01-13T19:50:37.287,2015-01-13,19:50:37,2015-01-13T19:50:45
132,1820618825,71,1,1,5,15,21,0,97.2,93.6,2015-01-13T19:50:45.177,2015-01-13,19:50:45,2015-01-13T19:50:52
133,2126153451,63,52,1,5,18,11,1,4.7,51.0,2015-01-13T19:50:48.454,2015-01-13,19:50:48,2015-01-13T19:50:48
